2017-06-09 13:56:41,438: INFO: running resume_train.py -finetune ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model -train ../data/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removeword
2017-06-09 13:56:41,438: INFO: loading Word2Vec object from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model
2017-06-09 13:56:41,672: INFO: loading wv recursively from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model.wv.* with mmap=None
2017-06-09 13:56:41,672: INFO: loading syn0 from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model.wv.syn0.npy with mmap=None
2017-06-09 13:56:41,716: INFO: setting ignored attribute syn0norm to None
2017-06-09 13:56:41,716: INFO: loading syn1neg from ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model.syn1neg.npy with mmap=None
2017-06-09 13:56:41,754: INFO: setting ignored attribute cum_table to None
2017-06-09 13:56:41,754: INFO: loaded ../model/onlyreview_douban_movie.tsv.processed.simpleCh.wordbreak.removewordsize300window5sg1min_count100negative10iter25.model
2017-06-09 13:56:41,954: INFO: training model with 12 workers on 84043 vocabulary and 300 features, using sg=1 hs=0 sample=0.001 negative=10 window=5
2017-06-09 13:58:31,346: INFO: PROGRESS: at 0.69% examples, 440563 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:32,351: INFO: PROGRESS: at 0.70% examples, 440463 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:33,357: INFO: PROGRESS: at 0.70% examples, 440654 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:34,391: INFO: PROGRESS: at 0.71% examples, 440506 words/s, in_qsize 22, out_qsize 1
2017-06-09 13:58:35,392: INFO: PROGRESS: at 0.71% examples, 440491 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:36,395: INFO: PROGRESS: at 0.72% examples, 440584 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:37,398: INFO: PROGRESS: at 0.73% examples, 440622 words/s, in_qsize 21, out_qsize 2
2017-06-09 13:58:38,402: INFO: PROGRESS: at 0.73% examples, 440663 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:39,406: INFO: PROGRESS: at 0.74% examples, 440692 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:40,425: INFO: PROGRESS: at 0.75% examples, 440760 words/s, in_qsize 22, out_qsize 1
2017-06-09 13:58:41,442: INFO: PROGRESS: at 0.75% examples, 440811 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:42,447: INFO: PROGRESS: at 0.76% examples, 441095 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:43,476: INFO: PROGRESS: at 0.77% examples, 440978 words/s, in_qsize 22, out_qsize 1
2017-06-09 13:58:44,481: INFO: PROGRESS: at 0.77% examples, 440776 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:45,481: INFO: PROGRESS: at 0.78% examples, 441012 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:46,491: INFO: PROGRESS: at 0.78% examples, 440857 words/s, in_qsize 22, out_qsize 1
2017-06-09 13:58:47,499: INFO: PROGRESS: at 0.79% examples, 440967 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:48,499: INFO: PROGRESS: at 0.80% examples, 441106 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:49,537: INFO: PROGRESS: at 0.80% examples, 440929 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:50,546: INFO: PROGRESS: at 0.81% examples, 440825 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:51,552: INFO: PROGRESS: at 0.82% examples, 440874 words/s, in_qsize 24, out_qsize 0
2017-06-09 13:58:52,552: INFO: PROGRESS: at 0.82% examples, 441070 words/s, in_qsize 24, out_qsize 0
2017-06-09 13:58:53,574: INFO: PROGRESS: at 0.83% examples, 441103 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:54,591: INFO: PROGRESS: at 0.84% examples, 441227 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:55,617: INFO: PROGRESS: at 0.84% examples, 441275 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:56,623: INFO: PROGRESS: at 0.85% examples, 441271 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:57,646: INFO: PROGRESS: at 0.85% examples, 441268 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:58,656: INFO: PROGRESS: at 0.86% examples, 441366 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:58:59,670: INFO: PROGRESS: at 0.87% examples, 441307 words/s, in_qsize 23, out_qsize 0
2017-06-09 13:59:00,671: INFO: PROGRESS: at 0.87% examples, 441392 words/s, in_qsize 23, out_qsize 0
